SpeciesID,Taxon,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,species,Describer
64,Dromalia alexandri,CNIDARIA,,Hydrozoa,Leptothecatae,,,Siphonophora,Physonectae,,,Rhodaliidae,,,Dromalia,,alexandri,Bigelow 1911
65,Clavularia sp H,CNIDARIA,,Anthozoa,Octocorallia,,,Stolonifera,,,,Clavulariidae,,,Clavularia,,sp H,Hochberg 1978 §
66,Telesto californica,CNIDARIA,,Anthozoa,Octocorallia,,,Stolonifera,,,,Telestidae,,,Telesto,,californica,Kükenthal 1913
67,Telesto nuttingi,CNIDARIA,,Anthozoa,Octocorallia,,,Stolonifera,,,,Telestidae,,,Telesto,,nuttingi,Kükenthal 1913
68,Stolonifera Genus 1 sp B,CNIDARIA,,Anthozoa,Octocorallia,,,Stolonifera,,,,,,,Stolonifera Genus 1,,sp B,Hochberg 1978 §
69,Adelogorgia phyllosclera,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Gorgoniidae,,,Adelogorgia,,phyllosclera,Bayer 1958
70,Eugorgia rubens,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Gorgoniidae,,,Eugorgia,,rubens,Verrill 1868
71,Heterogorgia tortuosa,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Gorgoniidae,,,Heterogorgia,,tortuosa,Verrill 1868
72,Chromoplexaura marki,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Plexauridae,,,Chromoplexaura,,marki,(Knkenthal 1913)
73,Leptogorgia chilensis,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Gorgoniidae,,,Leptogorgia,,chilensis,Verrill 1868
74,Muricea californica,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Plexauridae,,,Muricea,,californica,Aurivillius 1931
75,Swiftia sp,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Plexauridae,,,Swiftia,,,
